Customer_ID,Age,Location,Income_Level,App_Usage_Frequency,Total_Spent,LTV,Customer_Satisfaction_Score,Loyalty_Points_Earned,Referral_Count,Support_Tickets_Raised,Preferred_Payment_Method,Churn_Risk
cust_0000,54,Urban,Low,Monthly,3213385.7324541947,327954.5671754978,1,2114,25,3,Debit Card,Medium Risk
cust_0001,67,Suburban,High,Monthly,14231463.254508788,1437052.9136918946,8,2960,20,17,UPI,Medium Risk
cust_0002,44,Urban,High,Monthly,2323191.651271285,241938.6594295687,4,3170,0,11,Debit Card,Medium Risk
cust_0003,30,Rural,High,Weekly,1166308.228182735,128459.89502813401,1,4756,35,6,Wallet Balance,High Risk
cust_0004,58,Urban,Middle,Daily,9482481.355177276,956951.3736042989,5,1992,18,18,UPI,Medium Risk
cust_0005,23,Rural,Middle,Daily,4515033.358283747,467166.6391493332,10,3231,5,6,UPI,Low Risk
cust_0006,36,Rural,Low,Weekly,8278599.833408444,846943.3434412127,8,4123,46,1,Wallet Balance,Low Risk
cust_0007,54,Urban,Low,Daily,83455.95629656955,20661.52522713592,8,2513,17,13,Credit Card,Low Risk
cust_0008,34,Rural,Low,Monthly,5612921.22049484,577484.0084496654,10,1861,36,3,Credit Card,Medium Risk
cust_0009,38,Urban,High,Daily,3034603.6098015043,308366.8487934748,3,1221,7,10,UPI,Medium Risk
cust_0010,26,Urban,High,Daily,7591605.319167156,766979.5225362811,4,2313,10,13,UPI,Medium Risk
cust_0011,26,Rural,High,Monthly,5319216.31885448,542893.565483807,10,769,4,5,Debit Card,Medium Risk
cust_0012,39,Rural,High,Monthly,10312624.73112344,1041983.3988006422,4,3562,20,2,UPI,Medium Risk
cust_0013,68,Suburban,Low,Monthly,213383.30715398747,31001.241290682716,3,1432,39,15,Debit Card,Medium Risk
cust_0014,51,Rural,Middle,Weekly,1860654.423273138,199170.99758783623,6,1957,42,19,Debit Card,Medium Risk
cust_0015,55,Suburban,Middle,Daily,3352941.443925783,343117.51672497793,3,2304,20,15,Credit Card,Medium Risk
cust_0016,39,Rural,High,Weekly,581355.9684577524,67680.14528122132,6,1359,19,2,UPI,Medium Risk
cust_0017,18,Urban,Middle,Weekly,11359508.70043036,1154308.7485197769,5,4953,41,15,Debit Card,Medium Risk
cust_0018,37,Rural,Middle,Monthly,8488952.063289724,853173.570935078,2,1256,8,17,UPI,Medium Risk
cust_0019,68,Urban,Middle,Daily,3094070.802294983,315447.2882354866,8,72,1,7,Debit Card,Low Risk
cust_0020,17,Urban,High,Weekly,9694050.31651164,982201.5135198121,7,1182,48,9,Credit Card,Low Risk
cust_0021,39,Urban,Low,Monthly,2051362.7667177336,212562.50118970254,7,482,3,2,Debit Card,Medium Risk
cust_0022,59,Suburban,Low,Weekly,1852568.968527238,194556.0893922832,6,1239,25,13,Credit Card,Medium Risk
cust_0023,45,Rural,Middle,Daily,2503698.5201426228,263424.2393619522,9,2242,11,14,Wallet Balance,Low Risk
cust_0024,53,Urban,Low,Monthly,1840605.1048763695,195225.39344915395,4,3383,18,1,Credit Card,Medium Risk
cust_0025,17,Urban,Low,Weekly,3119395.705333423,318565.67735647934,5,402,18,15,Credit Card,Medium Risk
cust_0026,36,Suburban,High,Daily,2417544.769443608,253901.9761753079,9,764,18,12,Credit Card,Low Risk
cust_0027,48,Rural,High,Daily,682672.31021859,76185.40228407751,3,1835,28,14,Wallet Balance,Medium Risk
cust_0028,27,Rural,Middle,Weekly,889917.5483646453,99920.28292793703,3,2589,38,13,Credit Card,High Risk
cust_0029,37,Suburban,Middle,Daily,915824.7218931098,104516.56196867596,8,803,44,17,UPI,Low Risk
cust_0030,59,Suburban,Middle,Monthly,3582658.907966384,379382.6897100635,10,4201,33,15,UPI,Medium Risk
cust_0031,40,Rural,High,Monthly,7655174.959103558,780027.9459093214,6,4217,7,11,Wallet Balance,Medium Risk
cust_0032,64,Suburban,Low,Monthly,8438987.369310217,850434.0836679256,2,3002,5,13,Wallet Balance,Medium Risk
cust_0033,42,Rural,High,Monthly,51866.19904796035,15612.207916205693,3,2762,31,14,Wallet Balance,Medium Risk
cust_0034,57,Rural,High,Weekly,657481.6045679273,81812.91568377361,8,2819,27,1,Debit Card,Low Risk
cust_0035,43,Urban,Low,Weekly,462496.95724759554,58383.06831252614,5,3124,10,4,Credit Card,Medium Risk
cust_0036,31,Urban,Low,Daily,2000270.131213457,210555.2244531486,2,3195,27,12,Credit Card,Medium Risk
cust_0037,30,Rural,Middle,Daily,8015.831385897102,6300.978674120697,3,309,31,17,Wallet Balance,Medium Risk
cust_0038,62,Rural,Low,Daily,1166407.0414419237,128751.57891000483,2,3827,40,12,Wallet Balance,Medium Risk
cust_0039,66,Rural,Low,Monthly,3053969.7273766724,320041.77581085,5,4652,7,8,UPI,Medium Risk
cust_0040,59,Rural,Low,Weekly,6178979.029500417,629633.2553340168,5,2960,19,9,UPI,Medium Risk
cust_0041,67,Rural,Low,Weekly,14390457.716756437,1454676.3912187123,9,2256,23,19,Credit Card,Low Risk
cust_0042,18,Rural,Middle,Daily,3629455.4318013326,372319.2284600769,6,434,26,4,UPI,Medium Risk
cust_0043,52,Suburban,Middle,Weekly,113403.67617966858,22027.997769705646,2,3123,46,5,UPI,High Risk
cust_0044,66,Rural,Low,Weekly,2956762.2999490104,297728.39444580843,1,849,10,8,Credit Card,High Risk
cust_0045,22,Suburban,Low,Daily,4117.386656891778,10271.004202135116,7,106,46,10,Wallet Balance,Low Risk
cust_0046,36,Suburban,Middle,Weekly,725126.7532690674,86599.9817608782,7,2671,22,14,Wallet Balance,Low Risk
cust_0047,24,Rural,Middle,Monthly,10873827.654345034,1098915.371226453,10,119,21,5,Credit Card,Medium Risk
cust_0048,54,Rural,Low,Weekly,4093404.3508764193,420698.9568296117,6,3034,4,16,Wallet Balance,Medium Risk
cust_0049,33,Suburban,High,Monthly,18275279.655683573,1842200.8797064235,2,4809,47,0,Wallet Balance,Medium Risk
cust_0050,19,Suburban,Middle,Monthly,2469874.850268581,260734.37560745198,8,1892,33,8,Credit Card,Medium Risk
cust_0051,40,Rural,Middle,Daily,3423727.6109314645,352316.117973393,4,2161,30,17,Debit Card,Medium Risk
cust_0052,29,Rural,Middle,Daily,10366321.658967441,1055271.8087747954,7,3716,46,20,Wallet Balance,Low Risk
cust_0053,65,Suburban,Low,Daily,5952816.076710844,607212.6401311624,8,759,36,5,Credit Card,Low Risk
cust_0054,24,Suburban,Low,Weekly,648904.5970285971,77722.96398269868,7,1646,46,13,Debit Card,Low Risk
cust_0055,41,Suburban,Middle,Daily,5141580.623210784,527482.4101901161,3,4549,25,1,UPI,Medium Risk
cust_0056,68,Urban,Low,Monthly,9052996.808807138,915462.3263582166,8,231,22,9,Wallet Balance,Medium Risk
cust_0057,17,Suburban,Low,Daily,6253470.503475008,635701.5573730833,4,1594,42,0,Credit Card,Medium Risk
cust_0058,35,Urban,Middle,Monthly,663346.3709227134,77269.61550497552,8,561,37,17,UPI,Medium Risk
cust_0059,43,Rural,Low,Monthly,209849.90169575354,32959.509120679184,5,1806,37,1,UPI,Medium Risk
cust_0060,62,Rural,High,Weekly,2392807.8747585025,251679.62901320928,9,875,31,20,Debit Card,Low Risk
cust_0061,22,Suburban,Low,Monthly,6086258.439846022,612888.5571889696,3,1638,4,0,Credit Card,Medium Risk
cust_0062,59,Rural,Low,Weekly,3110518.663044308,316485.11152995646,2,992,24,14,Debit Card,High Risk
cust_0063,23,Rural,Middle,Weekly,82091.59660998716,22770.056553085953,4,3735,32,10,UPI,High Risk
cust_0064,62,Rural,Middle,Daily,3303031.4041121597,334432.3804011667,2,1556,6,1,Wallet Balance,Medium Risk
cust_0065,50,Rural,High,Weekly,464328.24955525424,58521.0661671778,2,4353,15,14,Debit Card,High Risk
cust_0066,29,Urban,Low,Monthly,10193648.40984627,1034321.8268237325,1,4818,48,20,Credit Card,Medium Risk
